X,Y,objectid,stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,creationdate,creator,editdate,editor
16.5848469997812,49.0391550002737,1559,U15220Z2,"Hrušovany u Brna, sídliště",49.039155,16.584847,525,0,U15220N745,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5919040002616,49.0342740002932,1560,U15222Z2,"Hrušovany u Brna, žel. st.",49.034274,16.591904,525,0,U15222N444,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.595026999635,49.0397980001756,1561,U15219Z2,"Hrušovany u Brna, obecní úřad",49.039798,16.595027,525,0,U15219N746,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.6104830000869,49.0370110002615,1562,U15230Z1,"Židlochovice, škola",49.037011,16.610483,525,0,U15230N747,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.616961000434,49.0336140002038,1563,U15241Z2,"Židlochovice, železniční stanice",49.033614,16.616961,525,0,U15241N454,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.6146060004414,49.0360540002832,1564,U15229Z3,"Židlochovice, aut. st.",49.036054,16.614606,525,0,U15229N564,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5940349999483,49.0383829998068,1565,U15219Z1,"Hrušovany u Brna, obecní úřad",49.038383,16.594035,525,0,U15219N746,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5919040002616,49.0342740002932,1566,U15222Z1,"Hrušovany u Brna, žel. st.",49.034274,16.591904,525,0,U15222N444,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5847270001306,49.0392970001229,1567,U15220Z1,"Hrušovany u Brna, sídliště",49.039297,16.584727,525,0,U15220N745,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5771230002024,49.0420619997093,1568,U15221Z1,"Hrušovany u Brna, VÚZA",49.042062,16.577123,525,0,U15221N744,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
