id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
640429,2020-11-25 16:02:10.747397 UTC,Brno,Bohunice,11000,2+kk,47,1,2,E,2,2,false,false,true,false,"49.170751,16.573376"
639014,2020-11-25 16:02:30.084098 UTC,Brno,Staré Brno,11985,1+kk,35,0,0,"",3,6,true,false,true,false,"49.186895,16.5866808"
610416,2020-11-25 16:11:44.144907 UTC,Brno,Štýřice,13000,2+1,50,2,1,A,0,1,true,false,false,false,"49.182259,16.595089"
359362,2020-11-25 16:11:36.015154 UTC,Brno,Město Brno,15000,3+1,95,1,1,"",2,4,false,false,false,false,"49.1950602,16.6068371"
634178,2020-11-25 16:11:11.697665 UTC,Brno,Jundrov,11000,2+1,56,1,2,A,3,7,true,false,true,true,"49.204666,16.55533"
635108,2020-11-25 16:01:54.031184 UTC,Brno,Židenice,9300,1+1,34,1,1,G,2,4,false,false,false,false,"49.196993,16.639351"
547097,2020-11-25 16:01:01.612109 UTC,Brno,Bystrc,11000,1+1,40,1,2,"",2,5,false,false,false,false,"49.2179961,16.504386"
488927,2020-11-25 16:01:48.553315 UTC,Brno,Bohunice,19000,2+kk,64,1,1,B,2,2,false,true,false,false,"49.180957248061,16.568570048688"
485490,2020-11-25 16:04:21.264488 UTC,Brno,Zábrdovice,13850,2+kk,58,1,1,C,2,2,false,false,false,false,"49.2023104,16.6227176"
635076,2020-11-25 16:06:45.899788 UTC,Brno,Bohunice,13000,3+1,72,1,2,G,2,2,true,false,true,false,"49.16791,16.576652"
149673,2020-11-25 16:14:41.16207 UTC,Brno,Trnitá,14000,1+kk,30,1,1,"",3,3,true,true,false,false,"49.191508,16.6199139"
633478,2020-11-25 16:11:00.855631 UTC,Brno,Zábrdovice,8500,1+kk,33,1,1,G,3,4,false,false,true,false,"49.202382,16.625568"
634017,2020-11-25 16:11:14.203561 UTC,Brno,Veveří,13000,3+kk,80,1,1,G,3,2,false,false,true,false,"49.207891,16.6013"
576915,2020-11-25 16:06:43.004425 UTC,Brno,Ponava,17500,3+kk,57,1,3,B,2,3,false,false,false,false,"49.2158388,16.6012197"
632778,2020-11-25 16:12:11.696845 UTC,Brno,Černovice,10000,1+1,35,1,1,F,3,0,false,false,false,false,"49.186831,16.642081"
630576,2020-11-25 16:13:19.808732 UTC,Brno,Královo Pole,12000,1+1,60,1,1,C,0,1,false,false,false,false,"49.219965,16.59561"
635523,2020-11-25 16:04:59.627859 UTC,Brno,Černá Pole,11000,2+1,52,1,1,C,3,3,false,false,true,false,"49.203689,16.620684"
598339,2020-11-25 16:07:51.237631 UTC,Brno,Komín,12000,1+kk,45,1,3,A,3,1,false,true,false,false,"49.222739,16.55627"
634704,2020-11-25 16:00:27.886404 UTC,Brno,Veveří,20818,3+kk,85,1,1,G,2,3,true,false,true,false,"49.201533,16.605996"
640768,2020-11-25 15:59:36.873062 UTC,Brno,Židenice,14000,2+1,52,1,1,G,2,1,true,false,false,false,"49.193474,16.654854"
572565,2020-11-25 16:06:34.252114 UTC,Brno,Královo Pole,14000,2+kk,53,1,1,C,3,1,true,false,false,true,"49.2286554,16.6041221"
631943,2020-11-25 16:03:41.087764 UTC,Brno,Královo Pole,19500,2+kk,58,0,0,"",3,2,true,false,true,true,"49.2212691,16.5852463"
629024,2020-11-25 16:02:38.357592 UTC,Brno,Štýřice,18750,1+kk,0,0,0,"",3,6,false,false,true,true,"49.1834133,16.5953083"
640003,2020-11-25 16:02:49.457574 UTC,Brno,Horní Heršpice,12285,1+kk,41,0,0,"",3,2,true,true,false,false,"49.1651278,16.611152"
638882,2020-11-25 16:03:11.678859 UTC,Brno,Líšeň,9263,1+kk,30,0,0,"",3,3,true,false,true,false,"49.1982928,16.6665336"
636205,2020-11-25 16:08:37.295246 UTC,Brno,Nový Lískovec,6800,1+kk,32,1,0,B,3,2,false,false,false,false,"49.181775,16.561731"
434320,2020-11-25 16:04:04.929242 UTC,Brno,Medlánky,9500,1+kk,28,1,3,B,3,0,false,false,false,false,"49.2391211,16.5723259"
589912,2020-11-25 16:13:43.966006 UTC,Brno,Veveří,15000,2+1,62,1,1,B,0,2,true,false,true,false,"49.201236,16.598723"
632270,2020-11-25 16:11:17.035068 UTC,Brno,Trnitá,10000,1+kk,24,1,3,A,2,2,false,false,false,false,"49.191462,16.616904"
492819,2020-11-25 16:02:46.728778 UTC,Brno,Stránice,13500,2+kk,50,1,1,"",2,0,false,false,false,false,"49.2001774,16.5789101"
