city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Trnitá,8500,1+kk,24,1,,1,2,False,False,False,False,49.1927247,16.6181453,Rent,1,1,1,0,1,0,1,0,0,1,0,1,0
Brno,Staré Brno,16875,1+kk,35,0,,3,8,False,False,True,False,49.186895,16.5866808,Rent,0,1,1,1,0,1,0,1,0,0,0,1,2
Brno,Bystrc,14000,3+1,75,2,E,2,5,True,False,True,False,49.229999,16.516656,Rent,0,1,1,0,1,1,0,0,0,1,1,0,2
Brno,Starý Lískovec,14000,3+1,75,2,G,0,1,True,False,True,False,49.167354,16.565267,Rent,0,0,0,1,1,1,1,0,0,1,1,1,0
Brno,Veveří,13000,2+1,73,1,A,2,2,False,False,True,False,49.201394,16.605577,Rent,0,0,0,1,1,0,1,0,0,0,1,0,2
Brno,Žabovřesky,8900,1+kk,34,1,F,3,-1,False,True,False,False,49.209095,16.587288,Rent,1,1,1,0,1,0,1,1,0,1,1,0,0
Brno,Slatina,9500,1+1,40,2,G,1,2,False,False,False,False,49.180981,16.684761,Rent,1,0,0,0,1,0,1,0,1,0,1,0,1
Brno,Lesná,8500,1+1,26,2,G,2,2,False,False,True,False,49.232856,16.629215,Rent,0,1,1,1,0,1,1,1,0,1,1,0,1
Brno,Zábrdovice,8300,1+kk,35,1,F,3,4,False,False,False,False,49.198929,16.618198,Rent,1,0,1,0,0,1,0,1,0,0,0,0,2
Brno,Město Brno,16800,2+kk,55,1,G,0,5,False,False,True,False,49.195912,16.609063,Rent,0,0,0,0,1,1,0,0,0,0,0,1,0
Brno,Řečkovice,13500,2+1,75,1,G,1,2,True,False,False,False,49.242061,16.584633,Rent,1,1,1,0,1,1,0,0,0,1,0,1,1
Brno,Líšeň,8500,1+1,35,1,C,3,1,False,False,False,False,49.2074568,16.6868142,Rent,0,0,0,0,0,1,1,1,0,0,0,1,2
Brno,Královo Pole,9500,1+1,39,1,D,1,1,False,False,False,False,49.223746,16.596901,Rent,1,0,0,0,0,1,0,0,0,0,1,1,2
Brno,Slatina,15000,2+kk,63,1,,3,4,True,False,True,False,49.178338,16.680526,Rent,0,0,1,1,0,1,0,1,0,0,0,1,1
Brno,Židenice,12000,2+kk,40,1,G,3,0,False,False,False,False,49.194664,16.637055,Rent,1,1,0,0,0,1,0,0,1,0,0,1,2
Brno,Staré Brno,9900,1+1,24,1,D,3,2,False,False,False,False,49.188793,16.596324,Rent,0,0,0,0,0,1,1,1,0,0,1,1,2
Brno,Štýřice,8500,1+kk,27,1,G,2,1,False,False,False,False,49.180675,16.596832,Rent,0,1,1,0,0,0,1,1,1,0,0,0,2
Brno,Obřany,12800,2+kk,70,1,,2,1,False,False,False,False,49.2365618,16.6427999,Rent,1,1,1,1,1,0,1,0,1,1,0,0,0
Brno,Trnitá,8800,1+kk,32,1,A,0,2,False,False,True,False,49.192674,16.618035,Rent,0,0,0,0,1,0,1,1,0,1,1,1,0
