,nazev,kategorie,adresa,lat,lon
59,Kavárna Chat Noir       ,kavarna,"Lidická 19, Brno",49.2018201,16.607172199999997
60,Kavárna Bezcukrárna     ,kavarna,"Pekárenská 12, Brno",49.201844200000004,16.600977
61,Pelíšek - kočičí kavárna,kavarna,"tř. Kpt. Jaroše 37A, Brno",0.0,0.0
62,J&T café Brno,kavarna,"Trnitá 500/7, Brno",49.187695700000006,16.6137374
63,Kavárna No Feet,kavarna,"Vaňkovo nám. 1a, Brno",49.19516420000001,16.5866625
64,Da Vinci,kavarna,"Kozí 8, Brno",49.196180600000005,16.60965
65,Bukovský kavárna - cukrářství,kavarna,"Minská 2, Brno",49.2105506,16.586793
66,Café & Bistro Bílá Vrána,kavarna,"Kristenova 1, Brno",49.2206283,16.5540324
67,Sound café & bar Vyhlídka,kavarna,"náměstí Svobody 86/17, Brno",49.194265,16.60817137101558
68,Yacht Caffe Vergnano,kavarna,"tř. Kpt. Jaroše 28, Brno",0.0,0.0
69,Kavárna Café Práh,kavarna,"Ve Vaňkovce 462/1, Brno",49.1888279,16.6139449
70,Kavárna a Pekařství Zastávka,kavarna,"Táborská 232, Brno",49.192867,16.6349814
71,Gourmet Cafe,kavarna,"Škrobárenská 502/1, Brno",49.1862372,16.6259387
72,Kavárna Divná paní,kavarna,"Mečová 6, Brno",49.192916700000005,16.6077209
73,Kavárna Šestá větev,kavarna,"Moravské náměstí 12, Brno",49.1996382,16.6058636
74,Čajovna Utopia,kavarna,"Divadelní 3, Brno",49.1949665,16.6141169
75,Café Flexaret,kavarna,"Kopečná 2/21, Brno",49.190835799999995,16.6039161
76,Jet Café,kavarna,"náměstí Svobody 86/17, Brno",49.194265,16.60817137101558
77,Kavárna Panksy,kavarna,"Jaselská 17, Brno",49.198964600000004,16.6000859
78,Brumli Caffé,kavarna,"Durďákova 4, Brno",49.2028121,16.618919299999998
79,Kavárna Gimmi Lounge Cafe,kavarna,"Slovanské náměstí 2237/1 , Brno",49.222997899999996,16.5925881
80,Kavárna Lazy Monkey,kavarna,"Skřivanova 12a, Brno",49.2092487,16.6055925
81,Mňau Café&Bar,kavarna,"Josefská 1, Brno",49.1935157,16.6120239
82,Kavárna Quido,kavarna,"Rybníček 325/6, Brno",49.2107555,16.6045102
83,Kavárna Ventana Café,kavarna,"Božetěchova 22/1, Brno",49.2260817,16.5957678
84,Kavárna Růžová slepička,kavarna,"Jánská 449/12, Brno",49.1943677,16.6104591
85,Curkářství Martinák,kavarna,"Veveří 14, Brno",49.199583200000006,16.6023833
86,Cukrárna Tutti Frutti,kavarna,"Jiráskova 1A, Brno",49.1998261,16.5966001
87,Café Mitte,kavarna,"Panská 362/11 , Brno",49.19338270000001,16.6079019
88,Kavárna Falk,kavarna,"Gorkého 2/12, Brno",49.2000717,16.5992259
89,Music Bar Alterna,kavarna,"Kounicova 506/48, Brno",49.210393100000005,16.594744400000003
90,Kavárna Podobrazy,kavarna,"Zelný trh 14, Brno",49.192705,16.6082557
91,Literární čajovna Skleněná louka,kavarna,"Kounicova 276/23, Brno",49.200528000000006,16.6031031
92,Hudební kavárna Stará Pekárna,kavarna,"Štefánikova 75/8, Brno",49.2084106,16.604249
93,Cukrárna Bali Boráková,kavarna,"Minská 226/52, Brno",49.2117097,16.5827268
94,Cukrárna U Mlsné kočky,kavarna,"Hraničky 1, Brno",49.1684336,16.577025
95,Zemanova kavárna a cukrárna,kavarna,"Josefská 493/4, Brno",49.193190799999996,16.6116672
96,Café Magnifique,kavarna,"Ve Vaňkovce 462/1, Brno",49.1888279,16.6139449
97,Restaurace Kinokavárna,kavarna,"náměstí SNP 1771/33, Brno",49.217906400000004,16.6206443
98,Cukrárna Luna,kavarna,"Žebětínská 70, Brno",49.19727,16.5326378
99,Cukrárna a kavárna Aida,kavarna,"Kozí 9, Brno",49.196478799999994,16.6092068
100,Literární kavárna Academia Brno,kavarna,"náměstí Svobody 79/13, Brno",49.194130200000004,16.609150800000002
101,Kavárna Aurum-caffe,kavarna,"Palackého třída 3048/124, Brno",49.227121999999994,16.5935962
102,Kavárna Cafe Soma,kavarna,"Jana Uhra 169/11, Brno",49.2023113,16.5965679
103,Cukrárna a kavárna Klokánek,kavarna,"Merhautova 960/84, Brno",49.207722499999996,16.624156
104,D-Café,kavarna,"Lidická 1864/18, Brno",49.2016245,16.607768
105,Cafe Bar DanaD,kavarna,"Kubíčkova 1115/8, Brno",49.221002899999995,16.5179462
106,Kavárna Café Steiner,kavarna,"Gorkého 9/38, Brno",49.1994843,16.5951786
107,Kavárna Beng!,kavarna,"Bratislavská 246/67 , Brno",49.200585,16.623376699999998
108,Kavárna Café Laundry,kavarna,"Lidická 1878/46 , Brno",49.203952,16.6070467
109,Terraza café & bar,kavarna,"náměstí Svobody 86/17, Brno",49.194265,16.60817137101558
110,Café Alfa,kavarna,"Starobrněnská 33/16, Brno",49.1924948,16.606704399999998
111,Kavárna Akademie caffe,kavarna,"Purkyňova 3030/35a , Brno",49.2210865,16.585186
112,Industra Coffee,kavarna,"Masná 9, Brno",49.1827265,16.6270545
113,Kavárna Gills Coffe,kavarna,"Veveří 456/9, Brno",49.1992885,16.6024292
114,Knižní kavárna Dobrovský,kavarna,"Joštova 137/6, Brno",49.1977671,16.6055985
115,Kavárna Limbo,kavarna,"Jaselská 17, Brno",49.198964600000004,16.6000859
116,Cukrárna Raw with love,kavarna,"Anenská 7, Brno",49.1908794,16.60322
117,Spirit bar Brno,kavarna,"Františkánská 7, Brno",49.1924759,16.6112375
118,Kavárna Naše věci,kavarna,"Jiráskova 16, Brno",49.200922999999996,16.596584
119,Kavárna Adrinela Cafe,kavarna,"Životského 195/14, Brno",49.19117070000001,16.6341866
120,Café Mendel,kavarna,"Mendlovo nám. 1A, Brno",49.19228579999999,16.594268
121,Kavárna Penerini coffee,kavarna,"Palackého třída 60, Brno",49.2219696,16.5961399
122,Kavárna Anděl,kavarna,"Gorkého 34, Brno",49.1995139,16.5955701
123,Kavárna Kávová Hvězda,kavarna,"Jezuitská 3, Brno",49.1968881,16.6096869
124,Kavárna Café Kaštanová,kavarna,"Kaštanová 515/125a, Brno",49.158308700000006,16.6368839
125,Kavárna Caffé Trieste Brno,kavarna,"Příkop 188/29, Brno",49.1987211,16.615150699999997
126,Kavárna Coffee Shop Lavazza Tripoli,kavarna,"náměstí Svobody 16, Brno",49.1940864,16.608248
127,Kavárna Café Art,kavarna,"Cihlářská 19, Brno",49.20430220000001,16.603462099999998
