city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Bystrc,12000,2+kk,62,1,B,2,1,False,False,True,False,Rent,1,0,0,1,0,0,0,0,0,0,0,1,0
Brno,Veveří,11200,1+1,20,1,C,3,3,True,True,False,False,Rent,0,1,1,1,0,1,1,1,0,1,0,1,2
Brno,Nový Lískovec,17900,3+1,72,2,A,2,1,True,False,True,False,Rent,1,0,0,1,0,0,0,1,0,0,0,0,2
Brno,Žebětín,11000,2+kk,58,1,,3,1,True,False,False,False,Rent,0,1,1,0,0,1,1,1,1,1,1,0,0
Brno,Černá Pole,9400,1+kk,34,1,A,2,8,False,False,True,False,Rent,1,1,1,1,1,1,1,0,1,1,1,0,1
Brno,Zábrdovice,15000,3+kk,101,1,C,1,2,False,False,True,False,Rent,1,0,1,1,1,0,1,0,1,0,0,0,2
Brno,Ponava,17500,3+kk,57,3,B,2,3,False,False,False,False,Rent,1,0,1,1,0,0,1,0,0,1,0,1,2
Brno,Staré Brno,15750,1+kk,0,0,,3,3,False,False,False,False,Rent,0,0,1,0,0,0,1,0,1,1,0,0,1
Brno,Královo Pole,9500,1+1,39,1,D,1,1,False,False,False,False,Rent,0,1,0,1,1,0,0,0,0,0,0,0,2
Brno,Bystrc,15500,2+kk,61,1,B,3,2,True,False,True,True,Rent,1,1,1,1,0,1,1,0,0,1,1,0,1
Brno,Židenice,10000,1+kk,42,1,A,2,2,False,False,True,False,Rent,1,1,0,0,0,0,0,1,0,0,0,0,0
Brno,Štýřice,18750,1+kk,0,0,,3,6,False,False,True,True,Rent,1,0,1,1,0,0,1,0,1,0,0,0,0
Brno,Trnitá,16500,1+kk,34,0,,3,2,False,False,True,False,Rent,0,1,0,1,0,0,0,1,0,1,1,1,1
Brno,Slatina,10500,2+kk,46,1,B,2,2,True,False,False,False,Rent,0,1,0,1,1,1,1,0,1,1,1,0,2
Brno,Veveří,9700,1+1,19,1,D,3,2,True,False,False,False,Rent,0,1,0,1,1,1,0,1,0,0,0,1,2
Brno,Královo Pole,11000,1+kk,39,1,C,2,5,True,False,True,False,Rent,1,0,0,0,1,1,1,0,0,1,0,0,0
Brno,Židenice,17000,3+kk,88,1,G,2,1,True,False,True,True,Rent,1,1,0,0,0,0,0,0,0,1,0,1,0
Brno,Město Brno,14000,2+kk,44,1,A,3,1,False,True,False,False,Rent,0,0,0,1,0,0,1,1,0,0,1,1,1
Brno,Řečkovice,9000,1+kk,33,1,C,1,1,False,True,False,False,Rent,1,1,0,0,0,1,0,0,1,1,0,1,1
Brno,Zábrdovice,10500,1+1,38,1,B,1,4,False,True,True,False,Rent,1,1,1,0,0,0,1,1,0,1,0,1,0
Brno,Zábrdovice,10500,1+kk,39,1,G,3,1,False,False,False,False,Rent,1,1,1,0,1,0,0,1,0,0,1,1,0
Brno,Štýřice,18750,2+kk,43,0,,3,2,True,False,False,False,Rent,1,0,1,1,0,0,1,0,1,1,0,1,1
Brno,Kohoutovice,14000,3+1,74,2,C,2,8,True,False,True,False,Rent,1,0,1,0,1,0,0,1,1,0,0,0,0
Brno,Trnitá,14175,1+kk,45,0,,3,-1,False,False,False,False,Rent,1,1,1,1,1,1,0,0,1,0,1,0,2
Brno,Město Brno,21019,2+kk,56,0,,3,3,False,False,True,False,Rent,0,0,0,0,0,1,0,1,1,0,0,1,0
Brno,Líšeň,11000,1+kk,32,2,C,0,4,False,False,False,False,Rent,1,1,1,0,0,0,0,1,0,1,0,0,2
