id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
634827,2020-11-19 15:39:37.784667 UTC,Hradec Králové,Třebeš,10000,3+1,68,1,2,G,1,3,TRUE,FALSE,TRUE,FALSE
634573,2020-11-19 15:49:28.444727 UTC,Praha,Michle,9800,1+kk,38,1,0,C,3,2,FALSE,FALSE,FALSE,FALSE
617278,2020-11-19 15:34:16.042242 UTC,Praha,Žižkov,12500,1+1,30,1,1,G,0,0,FALSE,FALSE,FALSE,FALSE
375357,2020-11-19 15:12:55.303261 UTC,Praha,Žižkov,11000,1+1,29,1,1,,2,3,FALSE,FALSE,FALSE,FALSE
634027,2020-11-19 16:09:45.651891 UTC,Praha,Vysočany,12000,1+kk,35,1,3,B,2,3,TRUE,FALSE,TRUE,TRUE
413871,2020-11-19 16:04:27.473589 UTC,Jesenice,Jesenice u Prahy,14500,3+kk,58,1,1,C,2,1,FALSE,TRUE,FALSE,FALSE
639123,2020-11-19 15:08:50.877658 UTC,Praha,Kobylisy,12000,2+kk,46,1,0,B,2,2,TRUE,FALSE,TRUE,FALSE
271341,2020-11-19 15:47:54.886919 UTC,Praha,Holešovice,22000,4+kk,98,1,1,,3,1,FALSE,FALSE,FALSE,FALSE
332578,2020-11-19 15:39:35.064788 UTC,Praha,Hostavice,13500,2+kk,52,1,3,B,1,2,TRUE,FALSE,TRUE,FALSE
512609,2020-11-19 15:25:58.182546 UTC,Praha,Dejvice,15500,2+1,60,1,1,,3,1,FALSE,FALSE,FALSE,FALSE
214756,2020-11-19 16:01:22.18482 UTC,Praha,Libeň,11000,1+1,35,1,1,,2,2,FALSE,FALSE,FALSE,FALSE
574802,2020-11-19 15:27:40.407421 UTC,Praha,Zbraslav,12000,3+kk,46,1,1,,2,1,FALSE,FALSE,FALSE,FALSE
627510,2020-11-19 15:42:28.19446 UTC,Praha,Uhříněves,14000,2+kk,60,1,1,C,2,4,TRUE,FALSE,TRUE,TRUE
556214,2020-11-19 15:53:31.464793 UTC,Zlín,,5500,1+kk,16,1,1,,3,0,FALSE,FALSE,FALSE,FALSE
502639,2020-11-19 15:34:49.290132 UTC,Praha,Vršovice,29500,3+kk,96,1,0,,1,3,TRUE,FALSE,TRUE,FALSE
552745,2020-11-19 15:25:55.888727 UTC,Praha,Nusle,19500,2+kk,76,1,1,,3,2,FALSE,TRUE,TRUE,TRUE
633252,2020-11-19 15:20:34.652508 UTC,Praha,Řeporyje,30000,5+kk,133,0,1,B,2,1,FALSE,TRUE,FALSE,FALSE
630559,2020-11-19 15:30:41.234287 UTC,Praha,Střížkov,14990,2+kk,52,1,1,B,3,4,TRUE,FALSE,TRUE,FALSE
613027,2020-11-19 15:14:06.551516 UTC,Praha,Dolní Chabry,19000,4+kk,79,1,1,C,2,1,FALSE,TRUE,FALSE,FALSE
634308,2020-11-19 15:42:17.712108 UTC,Plzeň,,6000,1+kk,30,1,1,D,2,2,FALSE,FALSE,FALSE,FALSE
519470,2020-11-19 15:14:01.389119 UTC,Kladno,,13000,2+kk,56,1,1,B,2,3,TRUE,FALSE,TRUE,TRUE
620194,2020-11-19 15:04:37.169007 UTC,Praha,Vinohrady,13000,2+kk,45,1,1,B,2,3,FALSE,FALSE,TRUE,FALSE
630105,2020-11-19 15:34:58.792755 UTC,Brno,Zábrdovice,17500,2+kk,69,1,1,B,0,5,FALSE,TRUE,TRUE,TRUE
639193,2020-11-19 15:03:12.891932 UTC,Brno,Židenice,16000,2+kk,66,1,1,B,2,2,TRUE,FALSE,TRUE,TRUE
634373,2020-11-19 15:59:00.446532 UTC,Praha,Libeň,14000,1+kk,38,1,1,C,3,3,TRUE,FALSE,TRUE,FALSE
168687,2020-11-19 15:58:30.148027 UTC,Praha,Bubeneč,18000,2+kk,65,1,1,G,3,4,FALSE,TRUE,FALSE,FALSE
634014,2020-11-19 15:43:14.980066 UTC,Praha,Uhříněves,11900,1+kk,43,1,1,B,3,2,FALSE,TRUE,TRUE,FALSE
518278,2020-11-19 15:29:41.459933 UTC,Jestřebí,Jestřebí u České Lípy,11500,4+kk,80,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
634219,2020-11-19 15:35:16.047165 UTC,Praha,Stodůlky,13500,3+1,84,1,2,D,1,3,TRUE,FALSE,FALSE,FALSE
634787,2020-11-19 15:07:02.980715 UTC,Praha,Vinohrady,11800,2+kk,30,0,1,A,3,5,FALSE,TRUE,TRUE,FALSE
