X,Y,název,počet_zaměstnanců,odvětví,address,latitude,longitude
16.611779331025602,49.1930927242098,Adolf Zeman, 6 - 9," Ubytování, stravování a pohostinství",Josefská 493/4,49.19309272,16.61177933
16.653535540714298,49.1868200011796,"ADOMI, s.r.o.", 25 - 49, Zpracovatelský průmysl,Olomoucká 1129/63,49.186820000000004,16.65353554
16.6081793028801,49.1639917199171,"Ados Trans, s.r.o.", 25 - 49, Doprava a skladování,Sokolova 468/63a,49.16399172,16.6081793
16.6047161519327,49.206382524777794,"Adria Bus, s.r.o.", 6 - 9, Administrativní a podpůrné činnosti,Lidická 716/73,49.20638253,16.60471615
16.608804090143398,49.193866121754894,"Adria Databanka, s.r.o.", 6 - 9, Administrativní a podpůrné činnosti,Panská 397/2,49.19386612,16.60880409
16.604685725994102,49.1538510000393,"Adtec, s.r.o.", 20 - 24, Zpracovatelský průmysl,Vídeňská 137/117a,49.153851,16.60468573
16.6025293138663,49.1478652737345,"Aducid, s.r.o.", 10 - 19, Informační a komunikační činnosti,Vídeňská 204/125,49.14786527,16.60252931
16.6060381459425,49.2106085970079,"Advanced Consulting, s.r.o.", 10 - 19, Informační a komunikační činnosti,Střední 404/31,49.2106086,16.60603815
16.6140187241294,49.194550839818795,"Advantage Consulting, s.r.o.", 50 - 99, Administrativní a podpůrné činnosti,Orlí 708/36,49.19455084,16.61401872
16.575112694564098,49.1925288307898,"Advokáti KJM legal, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Hlinky 57/142a,49.19252883,16.5751127
16.6073739704144,49.2008003447999,"Advokátní Kancelář Coufal, Georges &", 6 - 9," Profesní, vědecké a technické činnosti",Lidická 693/5a,49.20080035,16.60737397
16.6013416817719,49.162615328127,"Advokátní Kancelář Coufalová & Kubíková,", 6 - 9," Profesní, vědecké a technické činnosti",Bohunická 517/55,49.16261533,16.60134168
16.5900467316151,49.18108061777679,"Advokátní Kancelář Halva & Olejár,", 6 - 9," Profesní, vědecké a technické činnosti",Vinohrady 794/45,49.18108062,16.59004673
16.6106759366504,49.1910601960951,"Advokátní Kancelář Kučera a Truschinger,", 6 - 9," Profesní, vědecké a technické činnosti",Bašty 413/2,49.1910602,16.61067594
