obec,psc,okres,born,died,moved_in,moved_out,population,ppl_0_14,ppl_15_64,ppl_65,unemployment_ix
Přibice,62131,Brno-venkov,5,11,20,27,1036,161,683,192,5.882353
Rostěnice-Zvonovice,62193,Vyškov,9,6,27,21,516,86,372,58,4.958678
Želešice,62161,Brno-venkov,25,14,71,50,1699,312,1092,295,4.186047
Ostrovačice,62141,Brno-venkov,8,7,30,21,716,125,476,115,6.794055
Veverské Knínice,62141,Brno-venkov,8,12,19,17,939,155,627,157,6.0897440000000005
Litostrov,62141,Brno-venkov,0,1,2,1,122,16,80,26,13.75
Březina (dříve okres Blansko),62161,Brno-venkov,16,13,31,22,968,217,599,152,3.6544849999999998
Moravany,62161,Brno-venkov,36,11,159,78,2619,588,1737,294,3.390839
Žabčice,62211,Brno-venkov,10,17,30,25,1632,261,1061,310,3.970452
Moravské Bránice,62081,Brno-venkov,6,7,15,24,992,153,672,167,4.94186
Říčany,62141,Brno-venkov,25,19,41,50,2009,355,1264,390,4.300235
Drásov,62171,Brno-venkov,24,8,68,51,1642,354,1052,236,4.957102
Hlína,62081,Brno-venkov,3,1,5,16,296,42,200,54,5.6338029999999995
Křtiny,62012,Blansko,7,13,37,16,823,127,504,192,4.563492
Prštice,62161,Brno-venkov,8,4,15,12,938,141,623,174,4.754358
Zbraslav,62141,Brno-venkov,15,9,39,41,1283,194,848,241,4.93537
Žatčany,62211,Brno-venkov,6,8,16,15,799,128,536,135,4.64684
Dolní Kounice,62081,Brno-venkov,22,21,86,54,2428,351,1704,373,7.446809
Lovčičky,62151,Vyškov,8,7,24,10,663,121,431,111,3.521127
Hrušovany u Brna,62211,Brno-venkov,43,32,117,101,3496,630,2342,524,5.4560949999999995
Šitbořice,62071,Břeclav,20,20,34,33,1964,288,1335,341,5.92154
Přibyslavice,62141,Brno-venkov,5,5,19,16,493,82,337,74,5.952381
Sentice,62171,Brno-venkov,7,5,16,8,606,110,379,117,6.434316
Velké Hostěrádky,62072,Břeclav,3,5,12,7,501,94,337,70,7.462687
Drnovice,62193,Vyškov,14,24,47,58,2354,392,1519,443,5.07386
Předklášteří,62171,Brno-venkov,15,31,36,17,1444,208,929,307,5.4371
Luleč,62193,Vyškov,13,7,79,21,907,160,599,148,3.4423410000000003
Vranovice,62131,Brno-venkov,20,13,73,53,2233,368,1498,367,4.560698
Borkovany,62072,Břeclav,12,13,38,22,808,128,538,142,5.410448000000001
