,MČ,Ulice,LAT,LNG,Typ
4127,"ŘEČKOVICE,MOKRÁ HORA",Vitáskova 22,49.244793164741,16.575545699159,SBA
4128,"ŘEČKOVICE,MOKRÁ HORA",Vitáskova 22,49.244793164741,16.575545699159,SBI
4129,"ŘEČKOVICE,MOKRÁ HORA",Vlasty Pitnerové 9,49.249885893475,16.586635001784,SBA
4130,"ŘEČKOVICE,MOKRÁ HORA",Vlasty Pitnerové 9,49.249885893475,16.586635001784,SBI
4131,"ŘEČKOVICE,MOKRÁ HORA",Vlasty Pittnerové 3,49.249409634089,16.586472325894,PLA
4132,"ŘEČKOVICE,MOKRÁ HORA",Vlasty Pittnerové 3,49.249409634089,16.586472325894,PAP
4133,"ŘEČKOVICE,MOKRÁ HORA",Vránova 134,49.245165971189,16.582488696158,SBA
4134,"ŘEČKOVICE,MOKRÁ HORA",Vránova 134,49.245165971189,16.582488696158,SBI
4135,"ŘEČKOVICE,MOKRÁ HORA",bratří Křičků 27,49.25255462888,16.586201139572,SBA
4136,"ŘEČKOVICE,MOKRÁ HORA",bratří Křičků 27,49.25255462888,16.586201139572,SBI
4137,"ŘEČKOVICE,MOKRÁ HORA",bratří Křičků 5,49.252444942278,16.583728441949,SBA
4138,"ŘEČKOVICE,MOKRÁ HORA",bratří Křičků 5,49.252444942278,16.583728441949,SBI
4139,"ŘEČKOVICE,MOKRÁ HORA",Úhledná 2 - Brigádnická,49.260638930589,16.587744961637,SBA
4140,"ŘEČKOVICE,MOKRÁ HORA",Úhledná 2 - Brigádnická,49.260638930589,16.587744961637,SBI
4141,"ŘEČKOVICE,MOKRÁ HORA",Úprkova 4,49.249528144766,16.580356641132,SBA
4142,"ŘEČKOVICE,MOKRÁ HORA",Úprkova 4,49.249528144766,16.580356641132,SBA
4143,"ŘEČKOVICE,MOKRÁ HORA",Úprkova 4,49.249528144766,16.580356641132,SBI
4144,"ŘEČKOVICE,MOKRÁ HORA",Úprkova 4,49.249528144766,16.580356641132,SBI
4145,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,SBA
4146,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,SBA
4147,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,SBI
4148,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,SBI
4149,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,PLA
4150,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,PAP
4151,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,PLA
4152,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 1-3,49.242316589028,16.585721921629,PAP
4153,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,SBA
4154,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,SBI
4155,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,SBA
4156,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,SBI
4157,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,PAP
4158,BRNO-ŘEČKOVICE A MOKRÁ HORA,Žitná 15,49.239794409186,16.587185548744,PLA
