,Název,Adresa,lat,lon
134,Dětské hřiště Vodní,Kopečná 917,48.9928744,16.8635614
135,CrossFit MadMan,Vídeňská 297/99,50.0203894,14.4639779
136,Lázně Rašínova,Rašínova 643,50.0755201,14.7134488
137,Tenisové kurty a hala fit4all,Chironova 544/8,49.1760833,16.548354
138,Aquapark Kohoutovice,Chalabalova 946/2a,49.1931998,16.5412361
139,Lucie Kopečná,Masná 403/110,49.1821811,16.6259895
140,MY FIT I active & pilates studio Lenky Velínské a Romana Ondráška,Koliště 1912,49.1999715,16.6098167
141,Zumba s Míšou - Zumba v Brně,Václavská 6,50.1748663,14.742232059483516
142,PILATES POINT,Jílová 29b,49.1791414,16.5937679
143,Tréninkové centrum Brno,Sochorova 19/22,49.2135991,16.5670619
144,BODY EXPRESS,Moravské nám. 14,49.1994546,16.6053415
145,Centrum Tance Brno,Hybešova 255/17,49.1890486,16.6054479
146,Workout hřiště,Lužánecká 1888/10,49.2044105,16.6091876
147,Beat Up Calisthenics,Stará 11,29.9638125,31.1053705
148,Kuželna KK Moravská Slávia Brno,Vojtova 541/12,49.1836016,16.5961683
149,Dream Team Kickbox Brno,Žižkova 3044,48.8148305,16.6522633
150,masáže/ jóga,Veveří 476/39,49.2017435,16.598672
151,Atletický tunel,Oblá 469,49.17593495,16.555263949999997
152,FitCoach,Dvořákova 13,50.3280519,13.5440244
153,SK TART Moravská Slávia Brno,Vojtova 785,49.1833939,16.5991897
154,Akademie karate Brno,Václavská 237/6,49.189528,16.5974625
155,Sportovní hala TJ Sokol Brno I,Kounicova 20,49.2031581,16.6007047
156,Fitness & Wellness Shop ForActiv.cz Brno,"75, Plotní 688",0.0,0.0
157,Taurus Club z.s,Cejl 494/25,49.1975969,16.6179561
158,Movement education,Kounicova 685,49.2031581,16.6007047
159,Jízdárna Brno Veveří,Žižkova 980,48.8148305,16.6522633
160,Kuželna SK Brno-Žabovřesky,Fanderlíkova 3083/17,49.212033,16.5721053
161,VSK VUT Skurut Hai Brno florbalový tým,Technická 3013/14,49.226602,16.573361
162,MMAG Brno,Rybnická 60/75,48.9734252,22.1893502
163,Yoga Shala Brno,"18, Hybešova 256",49.189279,16.6046024
164,Iyengar Yoga Centrum Brno,Botanická 51,48.147818,17.0646319
165,Tj Sokol Brno Areál Stadec,Sokolská 687/3,48.9829732,14.4548322
166,Kuželna TJ Sokol Brno IV,Štolcova 551/8,49.1891733,16.6354299
