Karáskovo námìstí (Brno);
Chopinova (Brno);
Jungle Park (Brno);
Bosonožská (Brno);
Èerná pole (Brno);
Konradova (Brno);
Køídlovická (Brno);
Kamenný vrch (Brno);
Valašská (Brno);
U Pošty (Brno);
Osová (Brno);
Mikuláškovo námìstí (Brno);
Brnìnská pøehrada (Brno);
Brnìnská pøehrada I. (Brno);
Rybáøská bašta (Brno);
Teyschlova (Brno);
